Frame,Right Hip Abduction/Adduction,Right Hip Internal/External Rotation,Right Hip Flexion/Extension,Right Knee Abduction/Adduction,Right Knee Internal/External Rotation,Right Knee Flexion/Extension,Right Ankle Abduction/Adduction,Right Ankle Internal/External Rotation,Right Ankle Dorsiflexion/Plantarflexion,Right Ball Foot Abduction/Adduction,Right Ball Foot Internal/External Rotation,Right Ball Foot Flexion/Extension,Left Hip Abduction/Adduction,Left Hip Internal/External Rotation,Left Hip Flexion/Extension,Left Knee Abduction/Adduction,Left Knee Internal/External Rotation,Left Knee Flexion/Extension,Left Ankle Abduction/Adduction,Left Ankle Internal/External Rotation,Left Ankle Dorsiflexion/Plantarflexion,Left Ball Foot Abduction/Adduction,Left Ball Foot Internal/External Rotation,Left Ball Foot Flexion/Extension,Pelvis x,Pelvis y,Pelvis z,L5 x,L5 y,L5 z,L3 x,L3 y,L3 z,Time (s)
29,-0.685419197392757,-8.98646754845419,28.3504796443662,-0.489562693463699,0.282194999743338,36.5359575806022,5.4826252545644,8.57693723481552,-6.27931109278907,0,0,0,5.08418564195696,6.93699050759893,56.4496113789884,-14.5479289714943,5.03783470084099,109.096615428611,0.13012101903026,10.6446948701182,8.83029609017773,0,0,0,1.38991510425328,3.8236685445795,-1.16781846647609,0.127791425388651,22.9304063907172,-1.79421255555706,-0.547947732969571,25.5903853636947,-2.19843727127122,0.12083333333333333
30,-0.551828469554762,-9.07366319489858,27.8132569804272,-0.524386619456654,0.315464404497293,35.8396205324555,5.61639631889809,8.62397419045159,-7.12156728654931,0,0,0,5.081099917146,7.28804720679243,57.0865865088639,-14.8356875202226,5.36682993788589,109.689289999151,0.132966710757549,10.553895828595,9.41618273384797,0,0,0,1.4589961897509,3.8569156903028,-1.10941321216048,0.15511063953353,22.9417908377203,-1.72488248061468,-0.540357123157074,25.5919187092178,-2.12955963673501,0.125
31,-0.415599777900966,-9.16029880544362,27.2950073535478,-0.560688267001903,0.335587423520024,35.1923015096719,5.75435249792711,8.68289579116882,-7.94194369998803,0,0,0,5.07680525333379,7.63573356880676,57.7131950242472,-15.1209484792736,5.69033832817584,110.245702905849,0.129986084311895,10.4622343756598,10.0063884114426,0,0,0,1.52669980492804,3.88920350873685,-1.05423516126029,0.181884971439876,22.9529090763489,-1.65810206757132,-0.532813968774893,25.5935062531566,-2.06278139622736,0.12916666666666668
32,-0.279014785909108,-9.24741553262371,26.797304931731,-0.59469348514709,0.348045796962349,34.5980364962097,5.89474045800539,8.74870913517142,-8.73214432625395,0,0,0,5.0718391616057,7.97731186089644,58.3270158244997,-15.4025772402575,6.00562065162493,110.763414627368,0.122178617050773,10.370913587076,10.5958580217012,0,0,0,1.5929822293518,3.92028214170686,-1.00301572226609,0.208000891908648,22.9636793227975,-1.59462813333848,-0.525463339250253,25.5951410891115,-1.99886661155725,0.13333333333333333
33,-0.144359739207578,-9.33599461532023,26.321732695931,-0.622638103356084,0.358409964150762,34.0608375449059,6.03547625820875,8.81652347435483,-9.48392429158954,0,0,0,5.06682101686576,8.3100709209068,58.9256227968286,-15.6794599446106,6.30989160918829,111.239946469435,0.110463287209522,10.2811480986432,11.1795294851814,0,0,0,1.65779866981412,3.94990321555145,-0.956486922704373,0.233344372546148,22.9740205652415,-1.53521778858131,-0.518450382595268,25.5968167602612,-1.9385793878867,0.1375
34,-0.0139240986402549,-9.42696292949335,25.869882328521,-0.640753731627105,0.37231305365577,33.5846906804434,6.17415685405368,8.8815553349821,-10.1890922820344,0,0,0,5.06244632211863,8.63132530631194,59.506586284277,-15.9504923180153,6.60033007847056,111.672782693655,0.0956761305077393,10.1941668037808,11.7523333312368,0,0,0,1.72110344229792,3.97781973470336,-0.915381358637338,0.257800946749658,22.983852487255,-1.48062840544711,-0.511920326035795,25.5985272064109,-1.88268387431852,0.14166666666666666
35,0.11000074038437,-9.52119930917239,25.4433540800519,-0.645250204716352,0.395421037832614,33.1735527220319,6.30808390543182,8.93912785722179,-10.8395109518789,0,0,0,5.05947993502798,8.93841372352541,60.0674743536203,-16.2145675731697,6.87409005046397,112.05937311418,0.0785696964299466,10.1112144980181,12.3091925790589,0,0,0,1.78285018514261,4.00378596879221,-0.880432139600937,0.28125578256209,22.9930953771059,-1.43161757916679,-0.506018475861922,25.6002666935469,-1.83194426402146,0.14583333333333334
36,0.225122632783862,-9.61954163070576,25.0437565779146,-0.632294830627083,0.433399005346376,32.8313470086851,6.43429939591881,8.98466334002067,-11.4270950728623,0,0,0,5.05874828717111,9.22869669196875,60.605853813785,-16.4705634250259,7.12831232652748,112.397136220429,0.059814438564507,10.033552662306,12.8450228794342,0,0,0,1.84299210318127,4.02755733319904,-0.852372828919994,0.303593767275989,23.0016700228717,-1.38894308357643,-0.500890216566559,25.602029725884,-1.78712479393368,0.15
37,0.329149771879149,-9.72279465538938,24.6727065506648,-0.597988703277194,0.491873481264888,32.5619580536841,6.54963260836705,9.01366818351183,-11.9438072461004,0,0,0,5.06113062304911,9.49955340829348,61.1192909452418,-16.7173282767612,7.36013707173325,112.683462898047,0.0400020734968816,9.96245957876985,13.3547328846887,0,0,0,1.90148224264106,4.04889026307539,-0.831937379389694,0.324699603702875,23.0094975933438,-1.35336282059291,-0.496681009300401,25.6038109403905,-1.74898974406413,0.15416666666666667
38,0.425191998186518,-9.83552269608728,24.3280110421785,-0.541545365946473,0.569574781955656,32.3613420182403,6.65750607782982,9.03384636971312,-12.3966420665507,0,0,0,5.06840432174344,9.75735178609113,61.613315103292,-16.959964482624,7.57678300715161,112.920154199616,0.0160790949597455,9.89265890484286,13.8499183705738,0,0,0,1.95929215198575,4.06849163920608,-0.820369329044387,0.344882670563589,23.0170576719629,-1.32517428532906,-0.493298157384805,25.6059940353587,-1.71745641593137,0.15833333333333333
39,0.517818273061929,-9.95945194685216,24.0065306191319,-0.466273963513862,0.659643487021436,32.22252553791,6.76311128649279,9.05521988480771,-12.7988607434264,0,0,0,5.08115811189345,10.0092528195672,62.0940652331727,-17.2035881095627,7.785209424856,113.110906659847,-0.0145053518620315,9.81917519100019,14.343534144028,0,0,0,2.01708320155421,4.0870953156199,-0.81766412607846,0.364462744112577,23.0247473656884,-1.30374156058911,-0.490524023281859,25.6088307791363,-1.69163844466288,0.1625
40,0.606950546009472,-10.0911138208982,23.7084677515598,-0.37430535677482,0.7592128437331,32.1449760605719,6.86577399685929,9.07682431918316,-13.1518673192406,0,0,0,5.09852829263626,10.253810446955,62.5600172113745,-17.4469947824711,7.98218354534918,113.255918009151,-0.0505359735092156,9.7437730794744,14.8325165846848,0,0,0,2.0743440856822,4.10449719274929,-0.822684336989943,0.383339972691676,23.0323639369826,-1.28842263953637,-0.488317006149213,25.6121177636794,-1.67109479369667,0.16666666666666666
41,0.692539241884086,-10.2270447544177,23.4340245235127,-0.267731117142485,0.865359107984596,32.1281826298962,6.96478379881811,9.09769816337334,-13.457078516454,0,0,0,5.11965864098831,10.4895432367227,63.0096418626637,-17.6889127147772,8.16449385689792,113.355363631869,-0.0909021548355036,9.66824995835133,15.3137926892678,0,0,0,2.13056466472342,4.12049067089438,-0.834293145871312,0.401414504119217,23.0397041040765,-1.27857566329977,-0.486635788235072,25.6156513745681,-1.65538457296993,0.17083333333333334
